,,,,,,,
Municï¿½pios,Dentistas por mil habitantes Ano 2008,Dentistas por mil habitantes Ano 2009,Dentistas por mil habitantes Ano 2010,Dentistas por mil habitantes Ano 2011,Dentistas por mil habitantes Ano 2012,Dentistas por mil habitantes Ano 2013,
,,,,,,,
Água Branca,270010,"0,3","0,3","0,31","0,21","0,15","0,146021"
Anadia,270020,"0,28","0,28","0,4","0,17","0,17","0,166769"
Arapiraca,270030,"0,32","0,45","0,49","0,29","0,33","0,342646"
Atalaia,270040,"0,42","0,41","0,5","0,16","0,13","0,149614"
Barra de Santo Antônio,270050,"0,42","0,55","0,56","0,14","0,07",0
Barra de São Miguel,270060,"1,07","1,06","1,06","0,52","0,52","0,739645"
Batalha,270070,"0,84","0,83","0,7","0,29","0,29","0,27471"
Belém,270080,"0,58","0,59","0,44",0,0,"0,211104"
Belo Monte,270090,"0,27","0,27","0,28",0,0,0
Boca da Mata,270100,"0,43","0,58","0,54","0,15","0,15","0,110807"
Branquinha,270110,"0,99","0,9","0,94","0,29","0,1","0,092396"
Cacimbinhas,270120,"0,39","0,39","0,39","0,1","0,1","0,093205"
Cajueiro,270130,"0,44","0,43","0,39","0,39","0,39","0,09311"
Campestre,270135,"0,32","0,32","0,3",0,0,0
Campo Alegre,270140,"0,09","0,11","0,12","0,06","0,04","0,054386"
Campo Grande,270150,"0,81","0,81","1,11","0,66","0,65","0,519157"
Canapi,270160,"0,11","0,11","0,12",0,0,0
Capela,270170,"0,4","0,4","0,35","0,12","0,06","0,057917"
Carneiros,270180,"0,36","0,24","0,24",0,0,0
Chã Preta,270190,"0,56","0,57","0,42",0,0,0
Coité do Nóia,270200,"0,27","0,27","0,27","0,28","0,28","0,360036"
Colônia Leopoldina,270210,"0,4","0,4","0,6","0,35","0,34","0,328531"
Coqueiro Seco,270220,"0,55","0,54","0,54","0,18","0,18","0,17191"
Coruripe,270230,"0,36","0,37","0,4","0,09","0,09","0,161731"
Craíbas,270235,"0,3","0,52","0,49","0,18","0,17","0,209336"
Delmiro Gouveia,270240,"0,27","0,41","0,48","0,33","0,35","0,372556"
Dois Riachos,270250,"0,18","0,18","0,18",0,0,0
Estrela de Alagoas,270255,"0,23","0,23","0,23","0,23","0,23","0,220714"
Feira Grande,270260,"0,28","0,23","0,23","0,14","0,09","0,089377"
Feliz Deserto,270270,"0,89","0,88","0,46",0,0,0
Flexeiras,270280,"0,49","0,57","0,57","0,32","0,08","0,077748"
Girau do Ponciano,270290,"0,14","0,16","0,16",0,0,"0,050432"
Ibateguara,270300,"0,38","0,38","0,4",0,0,0
Igaci,270310,"0,54","0,5","0,52","0,12","0,12","0,230317"
Igreja Nova,270320,"0,64","0,59","0,6","0,34","0,25","0,287734"
