Municípios,Dentistasphabitante
Água Branca,0.31
Anadia,0.4
Arapiraca,0.49
Atalaia,0.5
Barra de Santo Antônio,0.56
Barra de São Miguel,1.06
Batalha,0.7
Belém,0.44
Belo Monte,0.28
Boca da Mata,0.54
Branquinha,0.94
Cacimbinhas,0.39
Cajueiro,0.39
Campestre,0.3
Campo Alegre,0.12
Campo Grande,1.11
Canapi,0.12
Capela,0.35
Carneiros,0.24
Chã Preta,0.42
Coité do Nóia,0.27
Colônia Leopoldina,0.6
Coqueiro Seco,0.54
Coruripe,0.4
Craíbas,0.49
Delmiro Gouveia,0.48
Dois Riachos,0.18
Estrela de Alagoas,0.23
Feira Grande,0.23
Feliz Deserto,0.46
Flexeiras,0.57
Girau do Ponciano,0.16
Ibateguara,0.4
Igaci,0.52
Igreja Nova,0.6
Inhapi,0.17
Jacaré dos Homens,0.55
Jacuípe,0.29
Japaratinga,0.64
Jaramataia,0.9
Jequiá da Praia,0.67
Joaquim Gomes,0.66
Jundiá,0.95
Junqueiro,0.63
Lagoa da Canoa,0.77
Limoeiro de Anadia,0.33
Maceió,1.14
Major Isidoro,0.37
Mar Vermelho,0.55
Maragogi,0.35
Maravilha,0.29
Marechal Deodoro,0.46
Maribondo,0.37
Mata Grande,0.12
Matriz de Camaragibe,0.55
Messias,0.96
Minador do Negrão,0.95
Monteirópolis,0.43
Murici,0.34
Novo Lino,0.25
Olho d'Água Grande,0.81
Olho d'Água das Flores,0.64
Olho d'Água do Casado,0.59
Olivença,0.27
Ouro Branco,0.37
Palestina,0.39
Palmeira dos Índios,0.7
Pão de Açúcar,0.29
Pariconha,0.88
Paripueira,0.35
Passo de Camaragibe,0.41
Paulo Jacinto,0.4
Penedo,0.7
Piaçabuçu,0.35
Pilar,0.57
Pindoba,0.35
Piranhas,0.43
Poço das Trincheiras,0.22
Porto Calvo,0.54
Porto Real do Colégio,0.26
Porto de Pedras,0.47
Quebrangulo,0.87
Rio Largo,0.34
Roteiro,0.45
Santa Luzia do Norte,0.87
Santana do Ipanema,0.42
Santana do Mundaú,0.82
São Brás,0.3
São José da Laje,0.53
São José da Tapera,0.23
São Luís do Quitunde,0.37
São Miguel dos Campos,0.49
São Miguel dos Milagres,0.7
São Sebastião,0.66
Satuba,0.68
Senador Rui Palmeira,0.23
Tanque d'Arca,0.33
Taquarana,0.26
Teotônio Vilela,0.56
Traipu,0.19
União dos Palmares,0.66
Viçosa,0.24
